D,p,dKthr,A
1.0207968e-09,1.1937761,7.3600774,72.53623
2.0630873e-09,1.2020504,7.9306884,73.24861
1.3106871e-09,1.1307306,6.645206,71.6317
1.7539357e-09,1.1651587,7.6349883,72.62422
1.950897e-09,1.2992036,6.679018,74.96651
2.0201876e-09,1.2403597,7.9668803,73.62528
2.4808982e-09,1.1985313,7.1380367,77.03223
2.466689e-09,1.1598687,7.6022882,73.39977
2.1593838e-09,1.2144463,6.9991326,74.250656
2.8565947e-09,1.1846049,7.328856,74.3266
2.5809663e-09,1.2095798,7.291356,73.723915
3.1132312e-09,1.1649277,6.3417163,72.6868
2.1672122e-09,1.1900842,7.3425093,71.86815
2.5261395e-09,1.1693242,7.0955195,72.32153
2.3780833e-09,1.2005327,7.5425115,73.00582
2.9430838e-09,1.1228882,7.0273376,72.45412
2.1057496e-09,1.2067536,6.249322,72.159164
2.183048e-09,1.2340364,7.1964116,77.86582
1.765338e-09,1.2219051,7.318099,71.92715
1.7594753e-09,1.1919483,7.6828732,73.463005
2.6164926e-09,1.1664808,7.718818,74.00548
1.2088759e-09,1.2015635,7.5793242,71.446205
4.633687e-09,1.2173818,7.4267697,73.30063
1.0407085e-09,1.1445403,7.6175475,75.090546
2.5204523e-09,1.1701303,6.4871044,74.97897
2.5573559e-09,1.1612571,7.538335,78.64948
1.2299036e-09,1.1852067,7.5554833,73.755005
4.2079216e-09,1.1675727,7.657367,76.09387
1.2878576e-09,1.1668133,6.568106,75.28517
2.1029376e-09,1.243823,7.32176,70.47432
1.1017045e-09,1.203462,7.665169,71.09328
2.3332756e-09,1.2004573,6.4613385,76.675156
2.4440117e-09,1.2003231,7.3768563,75.62377
1.8656245e-09,1.1809857,7.672983,75.96347
1.4286088e-09,1.2565101,6.4938364,73.46027
2.8888538e-09,1.2064025,7.0411186,73.24211
1.8238673e-09,1.2092943,6.623862,72.53728
1.5103122e-09,1.1140677,7.383669,72.69758
1.6127462e-09,1.2341944,6.730812,76.85737
1.8727544e-09,1.2025923,7.457146,73.88392
2.163477e-09,1.1654438,6.99555,76.46816
2.68658e-09,1.3217407,7.616651,70.065056
1.9356836e-09,1.282014,7.3963866,73.49679
2.077843e-09,1.1670141,7.890486,74.126
2.1196327e-09,1.1461396,6.814315,74.37386
1.1850861e-09,1.242108,8.25031,78.381516
3.2618128e-09,1.2303897,7.44043,71.78982
1.5885685e-09,1.1884817,6.6978674,73.920715
2.9552254e-09,1.2359868,6.3669944,76.56038
1.8713626e-09,1.1419992,7.8108106,72.00935
3.28929e-09,1.2899613,6.9374337,75.67893
3.6133443e-09,1.155393,8.04673,81.86976
1.1751374e-09,1.2412925,7.7491384,73.67433
2.346592e-09,1.1518376,6.9507895,77.158226
1.5007204e-09,1.2384247,7.7689567,72.95154
1.2617658e-09,1.1894336,7.005515,75.70617
1.4256638e-09,1.2656456,7.462246,71.89111
2.2121325e-09,1.1443201,7.35135,72.57612
1.644309e-09,1.1980766,7.646383,74.63725
1.3026198e-09,1.2557694,7.2965574,73.08895
1.3150399e-09,1.1684706,7.670542,74.387
1.6751476e-09,1.1446879,7.409718,74.58974
1.4037264e-09,1.2053381,6.545581,71.06692
1.8176747e-09,1.1969092,7.27089,73.997826
8.681112e-10,1.2418724,6.6529026,75.62002
1.1058914e-09,1.2180033,8.135351,78.6819
1.2654535e-09,1.2184556,7.4369307,74.807144
2.825503e-09,1.2179885,6.8592954,73.1943
1.1021313e-09,1.1016992,7.3251233,75.20733
1.6105781e-09,1.1912465,6.462875,73.201416
1.4311101e-09,1.1508497,7.8086534,73.5218
1.7341677e-09,1.2042805,6.011293,74.10727
3.4134384e-09,1.1760753,7.783456,73.87343
1.2265765e-09,1.1441892,7.673061,75.260765
3.1840983e-09,1.2064108,6.962206,73.21059
1.5538596e-09,1.2567508,6.804752,77.165565
2.2460864e-09,1.1506643,7.7144647,76.104034
2.6382696e-09,1.186293,6.920671,71.98671
8.2008333e-10,1.2054499,6.7663693,73.787056
2.4162863e-09,1.2214973,7.563282,72.274506
3.0848006e-09,1.2314552,6.8586574,77.98966
1.4264356e-09,1.1456457,7.4463606,73.62342
1.7057076e-09,1.1723683,6.5670147,76.83861
3.4644332e-09,1.2046449,6.9563394,76.09997
2.681292e-09,1.2251177,6.769856,75.055214
2.3250197e-09,1.2319431,8.136523,72.729706
1.2679976e-09,1.2351916,7.121821,73.227715
4.6573954e-09,1.252334,7.531085,75.683464
7.603383e-10,1.2965636,6.909705,73.20448
2.8794043e-09,1.2059848,7.4288287,77.635155
4.3773576e-09,1.2730793,7.235681,72.53471
1.0559895e-09,1.1562409,8.076701,71.76575
1.5221805e-09,1.1488687,6.7531,75.234276
3.2068472e-09,1.1946659,7.0650835,73.51966
2.3918798e-09,1.1577431,6.187627,73.297356
1.9255124e-09,1.206557,7.3677197,76.057045
2.6649143e-09,1.244272,7.4119825,76.15122
1.8495286e-09,1.2295635,7.404518,74.06345
9.817778e-10,1.2438738,7.1043425,76.99056
1.4713706e-09,1.2762535,6.800668,79.21173
1.3238578e-09,1.1307839,7.2121606,75.03681
1.5925541e-09,1.2255889,7.821819,73.08924
1.1543557e-09,1.2118179,7.330177,74.925064
2.174254e-09,1.2121289,7.762449,72.98197
1.8323366e-09,1.1299531,7.9048767,77.63751
1.0322918e-09,1.1821862,7.0661783,73.9337
1.3850677e-09,1.1666355,7.4842587,72.49009
1.6645517e-09,1.2196724,7.6103826,70.50273
2.886358e-09,1.2579248,7.880285,74.22536
1.0316197e-09,1.1147219,6.7968287,74.51489
3.047136e-09,1.1709231,7.1302667,76.43867
2.457788e-09,1.2286369,7.2815323,75.61713
2.139156e-09,1.2580967,7.500274,71.86385
1.5243444e-09,1.1947607,7.5176635,73.76898
3.4490628e-09,1.2411964,7.7800813,75.77678
2.1637834e-09,1.2212977,6.789763,73.97219
2.5035016e-09,1.2164143,7.0264945,71.88401
1.6541194e-09,1.2193959,7.395435,70.05122
4.3522577e-09,1.1305976,8.057023,77.017715
2.778119e-09,1.1941855,6.604884,73.91402
1.9999544e-09,1.338966,7.97876,74.630714
1.4610627e-09,1.1378013,6.721412,77.8846
1.8997832e-09,1.1902727,7.1041594,75.023415
1.2645701e-09,1.2892485,7.0127535,74.35312
3.4021646e-09,1.152,7.0022492,74.77302
2.135547e-09,1.2245228,7.600126,72.77915
2.4120879e-09,1.1743499,7.9185185,73.93587
2.5712665e-09,1.1006824,7.0524106,72.243004
2.2176785e-09,1.2165945,7.7190056,71.90304
2.633806e-09,1.2071716,6.896887,76.13319
4.073829e-09,1.2293422,6.928917,75.52915
3.5144978e-09,1.251597,7.043523,77.402794
1.0274365e-09,1.2721438,7.4885936,76.77009
2.215553e-09,1.177046,7.316518,73.12172
2.4466311e-09,1.1727303,7.327121,68.31523
2.219412e-09,1.232252,6.3380265,77.36534
1.7124404e-09,1.175056,6.7566237,71.52748
1.471904e-09,1.1634774,7.845812,73.267715
1.259344e-09,1.2244775,6.949359,76.657646
2.8967706e-09,1.2439655,6.9497,74.13185
1.6959085e-09,1.2528517,6.7645016,72.94063
2.1403903e-09,1.163101,6.9501357,76.64527
1.8338263e-09,1.1384678,7.713078,71.9562
1.985683e-09,1.2325166,7.404396,76.4475
1.7105837e-09,1.1855488,8.170395,77.06058
3.4658814e-09,1.1822942,6.938487,72.260544
2.9966991e-09,1.2177079,7.5259066,74.97271
1.5768843e-09,1.2646478,7.355453,72.70672
1.1684261e-09,1.2043487,6.8686357,72.86272
9.761429e-10,1.2084105,6.473209,76.318634
2.636869e-09,1.2057111,7.201067,74.820465
2.2626947e-09,1.2218844,7.8300686,74.70672
1.6436115e-09,1.2110496,6.980497,76.862885
1.5748519e-09,1.1890696,7.9370403,73.49283
3.0056546e-09,1.1229291,7.268096,74.24824
1.0687309e-09,1.2661031,7.8551416,72.79115
2.9238447e-09,1.2453277,6.2686954,76.57167
2.0332889e-09,1.2830846,6.1753645,75.99739
2.2624214e-09,1.2558256,7.1995077,74.264534
2.604357e-09,1.2224959,7.284197,76.633736
1.926683e-09,1.2199675,7.3523765,70.5567
3.836593e-09,1.2131915,8.584815,74.29952
5.1332267e-09,1.1395968,6.705584,72.01261
3.4167689e-09,1.1645236,7.0394044,74.766655
2.9466456e-09,1.1378478,6.8995175,75.7501
1.6622985e-09,1.1693331,7.78427,75.625084
2.98057e-09,1.1809573,8.103443,75.50256
2.082117e-09,1.2155308,6.9664574,75.82587
1.1585534e-09,1.2050735,7.113101,72.858345
1.2527503e-09,1.144604,6.9566736,72.22692
3.294633e-09,1.2900373,6.731371,77.30102
3.266194e-09,1.1682183,6.659126,78.65756
